id,ano_base,tipo_normalizado,tipo,titulo,resumo,autoria,orientacao,ies,nome_programa,area,regiao,uf,idioma,confianca,origem,justificativa,lote
1,1994,Dissertação,Mestrado,A DEFESA DO REU NA HISTORIA DO PROCESSO,"O PRESENTE TRABALHO, APRESENTADO VISANDO A CONCLUSAO DE CURSO DE POS-GRADUCAO, EM NIVEL DE MESTRADO, EM DIREITO PROCESSUAL, E O RESULTADO DE PESQUISA SOBRE A DEFESA DO REU, OBSERVADA DENTRO DE UM DETERMINADO PE RIODO NA HISTORIA DO DIREITO PROCESSUAL. O TEMA FOI DESENVOLVIDO A PARTIR DO DIREITO ROMANO, EM SEUS PRIMORDIOS, PASSANDO PELO DIREITO CANONICO, A FUSAO DE AMBOS OCORRIDA DURANTE A IDADE MEDIA (""UTRUM QUE IUS"") TERMINANDO COM O DIREITO LUSITANO, EM FASE ANTERIOR AO ILUMINISMO (SECULO XVII). POR CUIDAR DE ASPECTOS, BUSCOU-SE DEMONSTRAR, DENTRO DO POSSIVAL,A ATUACAO DA DEFESA, PESSOAL OU TECNICA, NO PROCEDIMENTO, COM OS O, NO DIREITO CANONICO. O PROCEDIMENTO EM SUA TOTALIDADE, INCLUSIVE COM A FASE RECURSAL, NO DIREITO LUSITANO, TAMBEM FOI INTENSAMENTE ABORDADO. O OBJETIVO DA PESQUISA E CONTRIBUIR, DE ALGUMA FORMA, PELA HISTORI OGRAFIA, PARA AFASTARA NATURAL E SEMPRE PRESENTE ESTIGMATIZACAO DA DEFESA DO REU, QUASE SEMPRE VISTA APENAS COMO SIMPLES E MERA ATIVIDADE PROCRASTINATORIA",LUIZ GEORGE NAVARRO,JOSE ROGERIO CRUZ E TUCCI,UNIVERSIDADE DE SÃO PAULO,DIREITO,DIREITO,SUDESTE,SP,,7,Corpus 1,"O trabalho reconstrói a defesa do réu no direito romano, canônico e lusitano até o século XVII, tratando o passado em seus próprios termos e períodos; embora haja motivação presente (combater estigmatização), o objeto central é histórico-processual com atenção às categorias de cada período.",1
2,1994,Dissertação,Mestrado,nocao e instituicoes de direito internacional na grecia classica,"O OBJETIVO DA DISSERTACAO E PROVAR QUE NAO E APENAS AOLGO PARECIDO COM O DIREITO INTERNACIONAL O QUE ACONTECEU NA GRECIA ANTIGA, MAS O SEU PROPORIO NASCIMENTO. EM PRIMEIRO LUGAR FAZ-SE UMA REFLEXAO PREVIA A RES PEITO DA RELACAO HISTORIA-DIREITO. EM SEGUNDO LUGAR, UMA LOCALIZACAO HISTORICO-GEOGRAFICA DO MUNDO GREGO DO SECULO V ANTES DE CRISTO, PARA QUE SE POSSA COMPREENDER A CIRCUNSTANCIA DAQUELE PERIODO: SOCIEDADE, EC ONOMIA, POLITICA, CULTURA, MENTALIDADE DE UMA FORMA GERAL E SOBRETUDO UMA DESCRICAO DA POLIS, A REALIDADE MAIS IMPORTANTE PARA ENTENDER O PORQUE DA DISSERTACAO. EM SEGUIDA SE PASSA AO APROFUNDAMENTO DA IDEIA DE S: TUCIDIDES E ISOCRATES. ESTE E O PRINCIPAL MOMENTO DA DISSERTACAO, UMA VEZ QUE, COMPREENDENDO A MENTALIDADE DO GREGO E O ""ITER""INTELECTUAL DA CRIACAO DA IDEIA DE LEI, ENTENDE-SE PERFEITAMENTE PORQUE E NAQUELE  PERIODO QUE NASCE O DIREITO INTERNACIONAL. DEPOIS ANALISAM-SE AS DIVERSAS POSICOES DOS PRINCIPAIS ESTUDIOSOS A ESSE RESPEITO. POR FIM, SE DESCREVE CADA UMA DAS INSTITUICOES INTERNACIONAIS MAIS COMUNS NA HELADE  DETENDO-SE COM MAIS VAGAR NAQUELAS QUE OCUPAM AINDA HOJE UM LUGAR IMPORTANTE NO MUNDO DO DIREITO.",JOSE BLANES SALA,GUIDO FERNANDO SILVA SOARES,UNIVERSIDADE DE SÃO PAULO,DIREITO,DIREITO,SUDESTE,SP,,8,Corpus 1,"O trabalho reconstrói as instituições internacionais da Grécia clássica do século V a.C. em seu contexto histórico-social próprio, com atenção à mentalidade e às categorias jurídicas do período; embora haja paralelos com o presente, o objeto central é a experiência jurídica grega em sua especificidade histórica.",1
3,1997,Dissertação,Mestrado,O PODER NO PERÍODO RENASCENTISTA,"O PODER NO PERÍODO RENASCENTISTA...NESTE TRABALHO O A, ESTUDA A QUESTÃO DO PODER EM DUAS OBRAS DO INÍCIO DO CAPITALISMO...""O PRÍNCIPE"" DE MAQUIAVEL E O ""DISCURSO DA SERVIDÃO VOLUNTÁRIA"" DE ETIENNE DE LO BOETIE...MAQUIAVEL, TRATA DA FORTUNA E DA VIRTUDE. A FORTUNA INDISPENSÁVEL DA AÇÃO HUMANA. JÁ A VIRTUDE É A SOMATÓRIA DAS QUALIDADES NECESSÁRIAS PARA O SUCESSO NOS EMPREENDIMENTOS. LA BOETIE INCITA OS HOMENS A LIBERDADE E BRÉVIO VENCER COSTUME, A COVARDIA E A PARTICIPAÇÃO NA TIRANIA PARA EXPERIMENTAR AS GRANDES VOCAÇÕES HUMANAS. MAQUIAVEL E LO BOETIE PENSADORES RENASCENTISTAS , DESMETIFICARAM O PODER...O PODER NÃO É PREVILÉGIO DOS DEUSES E DOS DEMÔNIOS, É DOS HOMENS QUE EXERCEM NA QUALIDADE DE PRÍNCIPES OU SÚDITOS...O PENSAMENTO DE MAQUIAVEL É TRATADO DE MANEIRA MAIS EXAUSTIVA, ATÉ PELA EXTENSÃO E COMPREENÇÃO DE SUA OBRA. LO BOETIE SURGE COMO CONTRAPONTO...-ATÉ MESMO PORQUE COMO APARENTE SUTÍTISE - É OBRA DO FLORENTINO. COMO FORMA DE PENSAR DE DIVERSOS OUTROS AUTORES QUE EM DIFERENTES MOMENTOS DA HISTÓRIA DISCUTIRAM ESSE TEMA, INPRESCINDÍVEL DO DIREITO À FILOSOFIA E A CIÊNCIA EM GER: O PODER.",Gabriel Benedito Issaac Chalita,LUIZ ANTONIO RIZZATTO NUNES,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,DIREITO,DIREITO,SUDESTE,SP,Português,6,Corpus 1,"O trabalho analisa o conceito de poder em obras do Renascimento (Maquiavel e La Boétie) em seu contexto histórico-filosófico, tratando o passado como objeto de conhecimento. Contudo, a ausência de fontes primárias jurídicas e de metodologia historiográfica reduz a confiança na classificação como História do Direito propriamente dita.",4
4,1998,Dissertação,Mestrado,OS CRIMES CONTRA O PATRIMÔNIO E A LUTA DE CLASSES NO BRASIL 1930 A 1998,"A pesquisa tem como propósito a recuperação histórica do tratamento dado pelo Direito Penal  brasileiro aos crimes contra o patrimônio, analisados em conjunto, desde a promulgação do Código Penal de 1940 até o ano de 1998, levando em consideração as principais alterações legais e tendências jurisprudenciais  ou doutrinárias havidas no período. Isso com o intuito de aferir a reciprocidade havida entre as alterações da superestrutura legal e a infra-estrutura  econômica, numa relação dialética de interdependência.....	A realização de tal objetivo deu-se através da leitura e análise da literatura nacional e estrangeira referente à metodologia da pesquisa nas ciências sociais, à historia das  condições sócio-econômicas reinantes no país no lapso temporal referido, ao conceito de crime historicamente construído pela Dogmática Penal, à concepção das sanções penais como sustentáculo do sistema penal  e à flexibilidade funcional dos tipos penais protetores do patrimônio privado. Além da bibliografia, também foram utilizados os textos legais e decisões jurisprudenciais inseridas no período histórico e de relevância para a análise do problema proposto...		A dissertação é composta de uma introdução, mais  três capítulos  e considerações finais. O primeiro capítulo refere-se à fundamentação metodológica da pesquisa e sua teoria de base;  o segundo é dedicado às  transformações de ordem econômica, política e social do período que se inicia na década de 30 e vai até os anos 90; o terceiro  articula  a temática dos crimes contra o patrimônio, relacionando as alterações promovidas nesta matéria pelo Direito Penal brasileiro à tentativa feita pelo poder estatal de obter funcionalidade e legitimidade na sua atuação. ....		Nas considerações finais, nas quais não há  intenção de se chegar  a conclusões definitivas, únicas e acabadas, é afirmado  o fracasso  do sistema penal brasileiro no tratamento dado à matéria, motivo pelo qual gerou-se uma crise de legitimidade e  distúrbios de funcionalidade. Indaga-se ainda sobre uma certa perplexidade gerada pelo debate atual do tema,  em decorrência  do processo de  globalização da vida no mundo  contemporâneo, que se apresenta através da dicotomia paradoxal totalização-fragmentação, sustentado  pelas teorias neoliberais e pós-modernas.",Sérgio Luiz Fernandes Pires,Vera Regina Pereira de Andrade,UNIVERSIDADE FEDERAL DE SANTA CATARINA,DIREITO,DIREITO,SUL,SC,Português,7,Corpus 1,"A pesquisa realiza recuperação histórica do tratamento penal dos crimes contra o patrimônio no período 1930–1998, articulando transformações legais com contexto socioeconômico e utilizando textos legais e jurisprudência do período como fontes; o passado é tratado como objeto de investigação, embora haja tensão com preocupações críticas sobre o sistema penal atual.",6
5,1998,Dissertação,Mestrado,"RELAÇÕES ENTRE CONCEPÇÕES DE HISTÓRIA, HISTORIOGRAFIA E A HISTÓRIA DO DIREITO A PARTIR DA OBRAS DE ANTÓNIO MUNUEL HESPANHA.","PRESENTE TRABALHO BUSCA DISCUTIR AS CONCEPÇÕES DE HISTÓRIA E SUAS INTERLOCUÇÕES COM A HISTÓRIA DO DIREITO A PARTIR DA OBRA DO HISTORIADOR DO DIREITO PORTUGUÊS  ANTONIO MANUEL HESPANHA. PARTINDO DA CONSTATAÇÀO DA FALTA DE CULTIVO METODOLÓGICO NA DISCIPLINA, ONDE PREDOMINA UMA CONCEPÇÃO RTRADICIONAL E POSITIVISTA DE HISTÓRIA, ESTA DISSERTAÇÃO BUSCA DESVELAR OS LIMITES DESTA OPÇÃO TEÓRICA, DEMONSTRANDO A SUA INSUFICIÊNCIA E SUA NOCIVIDADE NA HISTORIOGRAFIA JURÍDICA. SÃO DISCUTIDAS, A PARTIR DAÍ, DUAS CONCEPÇÕES DE HISTÓRIA - QUE PERPASSAM A OBRA DE HESPANHA - E QUE PODEM TER UMA RICA INTERLOCUÇÃO COM A HISTÓRIA DO DIREITO: A ESCOLA DE ""ANALES"" E O MARXISMO.  CADA UMA DESTAS CORRENTES, COM A RENOVAÇÃO DAS TEMÁTICAS E COM FORMA DE ABORDAGEM QUE PROPOEM, TRAZEM PARA A HISTORIOGRAFIA JURÍDICA UMA POSSIBILIDADE DE REVIGORAMENTO TEÓRICO-METODOLÓGICO CAPAZ DE REAVIVAR SUA VOCAÇÃO CRÍTICA E QUESTIONADORA DO DIREITO VIGENTE.",RICARDO MARCELO FONSECA,LUIZ FERNANDO COELHO,UNIVERSIDADE FEDERAL DO PARANÁ,DIREITO,DIREITO,SUL,PR,Português,9,Corpus 1,"O trabalho trata explicitamente de metodologia historiográfica jurídica, dialogando com a Escola dos Annales e o marxismo a partir da obra de Hespanha; o objeto é a própria epistemologia da História do Direito, não a dogmática vigente.",6
6,1999,Tese,Doutorado,A Teoria da Interpretação Jurídica de Emilio Betti - Uma Contribuição à História do Pensamento Jurídico Moderno,"A hermenêiutica é um tema comum ao direito e à filosofia, mas até hoje existiu muito pouca comunicação entre sua discussão tal como ela se organizou nesses dois universos. Essa tese analisa os textos de Emilio Betti sobre esse tema e procura demonstrar como ele foi um dos primeiros autores que procurou construir uma teoria da interpretação jurídica que levasse em consideração essas duas ordens de reflexão sobre o problema hermenêutico e como, com isso, sua teoria diferenciou-se das de seus interlocutores no âmbito da teoria gerla do direito...Para tanto, será discutida a especificidade do percurso que conduziu Betti da teoria do direito à teoria do conhecimento. isso será feito em três etapas. em primeiro lugar, será mostrado como Betti, influenciado pela jurisprudência dos interesses de Heck propõe, contra a Escola do Direito Livre e a teoria de Kelsen, na forma como ele as interpretou, a interpretação histórico-evolutiva como modelo de interpretação jurídica. em seguida, será visto como o jurista italiano concebe o conceito de forma representativa como objeto de sua teoria da interpretação. No lugar dos interesses que estão no fundamento da norma, o intérprte deve investigar o espírito objetivado no material sensível. Por último, será examinada a teoria com a qual Emilio Betti pretende resolver o problema do conhecimento das formas representativas e avaliada a solução apresentada com relação ao problema inicial da relação ao problema inicial da relação entre os fatos e as normas, tal como ele apresntou-se para Betti no âmbito da teoria geral do direito.",Leonel Cesarino Pessôa,TERCIO SAMPAIO FERRAZ JUNIOR,UNIVERSIDADE DE SÃO PAULO,DIREITO,DIREITO,SUDESTE,SP,Português,7,Corpus 1,"O trabalho reconstrói o percurso intelectual de Betti em seus próprios termos, situando sua teoria no contexto do debate jurídico-filosófico do século XX e dialogando com correntes historiográficas do pensamento jurídico. O passado doutrinário é tratado como objeto autônomo de análise, não como instrumento para resolver questões dogmáticas presentes.",9
7,1999,Dissertação,Mestrado,"A Pena, o Tempo eo Poder","Nesta Dissertação de mestrado, pretende-se avaliar a história das prisões na cidade do Rio de Janeiro, no período compreendido entre 1570 e 1996.  Para tanto, procedeu-se à reflexão - também histórica - da idéia punitiva, discutindo os nexos causais da ordem penal e os aspectos epistemológicos, dogmáticos e críticos do direito de punir.  Foram abordados criticamente os diversos sistema s penitenciários, pricipalmente em sua contradição com os diversos pressupostos teóricos da criminologia, compreendendo que o acompanhamento da trajetória histórica e institucional dos modelos prisionais pode lançar luz sobre os sistemas de poder, político, social e econômico, a eles subjacentes.   Foram também examinados os processos de fundação e evolução das prisões cariocas, como síntese histórica, cultural e institucional do poder vigente, podendo-se chegar a conclusão de que a prisão é uma síntese objetiva de tal poder e espelho veemente de suas contradições.",Carlos Eugênio de Freitas,Ester Kosovski,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,DIREITO,DIREITO,SUDESTE,RJ,Português,8,Corpus 1,"O trabalho reconstrói a história das prisões cariocas de 1570 a 1996, dialogando com criminologia e sistemas de poder em perspectiva histórica autônoma. O passado é tratado como objeto de conhecimento em si, com reflexão sobre trajetória institucional e cultural dos modelos prisionais.",7
8,2000,Dissertação,Mestrado,Tribunal do Júri e sua Evolução. Pesquisa Histórica,"Este trabalho tem por objetivo demonostrar a evolução histórica do Tribunal do Júri, investigando suas raízes, enumerado as legislações pertinentes, suas modificações, bem como as conquistas e os retrocessos. Também citamos comentários de doutrinadores da época, de modo a demonostrar a interpretação e as divergências que surgiram no decorrer da história do júri.",Carla Rodrigues de Araújo,Afrânio Silva Jardim,UNIVERSIDADE GAMA FILHO,DIREITO,DIREITO,SUDESTE,RJ,Português,6,Corpus 1,"O trabalho declara explicitamente ser uma ""pesquisa histórica"" que investiga raízes, legislações de época e comentários de doutrinadores do período, sugerindo atenção às categorias jurídicas em seus próprios termos; contudo, a ênfase em ""evolução"" pode indicar uso instrumental do passado.",11
9,2001,Dissertação,Mestrado,Histórias de Crime e Sedução no Rio GRande do Sul de 1890 a 1930,"Este trabalho consiste numa análise dos crimes sexuais cometidos contra mulheres na sociedade brasileira no final do século XIX e início do século XX, abordando a moral sexual e a legislação vigentes na época. Analisam-se as diversas legislações que vigoraram no Brasil acerca da criminalidade sexual, enfatizando o estudo do Código Penal de 1890 e o crime de defloramento praticado com emprego de sedução. Apresenta-se um panorama da violência sexual na capital do Estado do Rio Grande do Sul através da análise qualitativa e quantitativa dos processos criminais que versavam sobre a matéria e verifica-se os discursos dos operadores do direito acerca da mulher, do seu papel na sociedade, de sua honra e honestidade, discursos estes constantes nos processos criminais que tramitaram na Vara do Júri durante o período selecionado. Através dos documentos coligidos e da doutrina da época, constatam-se vários elementos que permitem concluir o estudo apontando para a existência da necessidade de tutela da honra feminina como embasadora de outro valor considerado, no início do século,  ainda mais importante: a honra masculina. Analisa-se, enfim, como se desenvolve esta estratégia normativa, que se esconde por trás da sedução e do crime de defloramento e que teoricamente visa tutelar a jovem mulher brasileira...O estudo proposto tem por intuito realizar uma análise da história da criminalidade sexual na sociedade brasileira. Trata-se de um estudo da história das mentalidades, um estudo interdisciplinar que visa seduzir o leitor na descoberta dos verdadeiros mecanismos sociais que regularizam e normatizam o meio social.",Viviane Moura Sleimon,Ruth Maria Chittó Gauer,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,CIÊNCIAS CRIMINAIS,INTERDISCIPLINAR,SUL,RS,Português,9,Corpus 1,"O trabalho analisa processos criminais históricos (1890–1930) como fontes primárias, reconstituindo discursos jurídicos e morais do período em seus próprios termos. O passado é objeto autônomo de conhecimento, com abordagem de história das mentalidades e análise qualitativa/quantitativa de documentos de época.",22
10,2001,Dissertação,Mestrado,REFLEXÕES SOBRE A EVOLUÇÃO DOS PRINCIPAIS SISTEMAS DE TRABALHO COMPULSÓRIO AO LONGO DA HISTÓRIA DO HOMEM.,"Visa a presente pesquisa desenvolver uma reflexão e uma visão panorâmica multidisciplinar de alguns dos mais importantes sistemas de aproveitamento de mão-de-obra humana, desde o período pré-histórico até nossos dias. Através dos registros históricos e com base na filosofia que marcou cada uma das épocas, objetivamos desenvolver um estudo sobre as estruturas de tais sistemas, principalmente no sentido de tentar encontrar as justificadas direcionadas a explicar tais práticas e seus avanços ao longo dos séculos. Acreditamos ser oportuno tal trabalho pelo fato de que, num momento em que a globalização é cada vez mais enaltecida e justificada, requerendo uma série de adequações legais e institucionais, cremos ser prudente e razoável recorrermos à história no sentido de encontrar sustentáculos capazes de guiar nossas ações sobre a construção de um futuro que possa ser, realmente, promissor e efetivamente positivo...Uma vez que as ciências jurídicas se particularizam por sua complexidade e interação com um conjunto significativo de outras ciências e epistemologias, julgamos ser de valor a presente contribuição à pesquisa, mormente por tentar ser edificada sob um prisma diferente das sustentações fundadas apenas nas técnicas, adentrando assim,  para um campo mais reflexivo.",LUIZ HENRIQUE BELTRAMINI,Maria Amália de Figueiredo Pereira Alvarenga,UNIVERSIDADE DE FRANCA,DIREITO,DIREITO,SUDESTE,SP,Português,5,Corpus 1,"O trabalho propõe uma visão panorâmica histórica dos sistemas de trabalho compulsório desde a pré-história, com base em registros históricos e filosofia de cada época; contudo, a finalidade declarada de orientar o futuro e a ausência de fontes primárias reduzem a confiança na classificação.",18
