orientador,orientando,ano_base,tipo_normalizado,ies,nome_programa
Jose Rogerio Cruz e Tucci,Luiz George Navarro,1994,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Guido Fernando Silva Soares,Jose Blanes Sala,1994,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Luiz Antonio Rizzatto Nunes,Gabriel Benedito Issaac Chalita,1997,Dissertação,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,DIREITO
Vera Regina Pereira de Andrade,Sérgio Luiz Fernandes Pires,1998,Dissertação,UNIVERSIDADE FEDERAL DE SANTA CATARINA,DIREITO
Luiz Fernando Coelho,Ricardo Marcelo Fonseca,1998,Dissertação,UNIVERSIDADE FEDERAL DO PARANÁ,DIREITO
Tercio Sampaio Ferraz Junior,Leonel Cesarino Pessôa,1999,Tese,UNIVERSIDADE DE SÃO PAULO,DIREITO
Ester Kosovski,Carlos Eugênio de Freitas,1999,Dissertação,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,DIREITO
Afrânio Silva Jardim,Carla Rodrigues de Araújo,2000,Dissertação,UNIVERSIDADE GAMA FILHO,DIREITO
Ruth Maria Chittó Gauer,Viviane Moura Sleimon,2001,Dissertação,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,CIÊNCIAS CRIMINAIS
Maria Amália de Figueiredo Pereira Alvarenga,Luiz Henrique Beltramini,2001,Dissertação,UNIVERSIDADE DE FRANCA,DIREITO
Menelick de Carvalho Netto,Herman Nébias Barreto,2001,Dissertação,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DIREITO
Joaquim Carlos Salgado,Roberto Kalil Ferreira,2001,Tese,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DIREITO
Ela Wiecko Volkmer de Castilho,Mônica Ovinski de Camargo,2001,Dissertação,UNIVERSIDADE FEDERAL DE SANTA CATARINA,DIREITO
Judith Hofmeister Martins-Costa,Laura Beck Varela,2001,Dissertação,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,DIREITO
Marcelo Campos Galuppo,Natália Raquel Ribeiro Araújo,2002,Dissertação,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,DIREITO
Nilo Batista,Oscar Luiz Moret Hernández,2002,Dissertação,UNIVERSIDADE CÂNDIDO MENDES,DIREITO
Joao Mauricio Leitao Adeodato,Fernando José Pereira Araújo,2002,Tese,UNIVERSIDADE FEDERAL DE PERNAMBUCO,DIREITO
Arno Wehling,Cláudia Pires Scarpa Machado Lourenço,2002,Dissertação,UNIVERSIDADE GAMA FILHO,DIREITO
Alberto Nogueira,Paulo Santos,2002,Dissertação,UNIVERSIDADE GAMA FILHO,DIREITO
Maria Helena Diniz,Glaucia Luna Meira,2003,Dissertação,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,DIREITO
Nilo Batista,Roberta Duboc Pedrinha,2003,Dissertação,UNIVERSIDADE CÂNDIDO MENDES,DIREITO
Nilo Batista,Marcos David Salem,2003,Dissertação,UNIVERSIDADE CÂNDIDO MENDES,DIREITO
Vera Malaguti de Souza Weglinski Batista,Flávio Henriques Hebron Moura de Oliveira,2003,Dissertação,UNIVERSIDADE CÂNDIDO MENDES,DIREITO
Nilo Batista,Fernando Augusto Henriques Fernandes,2003,Dissertação,UNIVERSIDADE CÂNDIDO MENDES,DIREITO
Carlos Augusto Canêdo Gonçalves da Silva,Cláudio Henrique Ribeiro da Silva,2003,Dissertação,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DIREITO
Antonio Carlos Wolkmer,Enéa de Stutz e Almeida,2003,Tese,UNIVERSIDADE FEDERAL DE SANTA CATARINA,DIREITO
Paulo Bonavides,Giuliano Menezes Campos,2003,Dissertação,UNIVERSIDADE FEDERAL DO CEARÁ,DIREITO (DIREITO E DESENVOLVIMENTO)
Jose Carlos Dias Castro,Ivanildo Ferreira Alves,2003,Dissertação,UNIVERSIDADE FEDERAL DO PARÁ,DIREITO
Arno Wehling,Cyane Mendes Baptista Tinoco,2003,Dissertação,UNIVERSIDADE GAMA FILHO,DIREITO
Everaldo Tadeu Quilici Gonzalez,Aristeu Clodoaldo Juliato,2003,Dissertação,UNIVERSIDADE METODISTA DE PIRACICABA,DIREITO
Vera Malaguti de Souza Weglinski Batista,Suyan dos Santos Liberatori,2004,Dissertação,UNIVERSIDADE CÂNDIDO MENDES,DIREITO
Antonio Gomes Moreira Maués,Sandro Alex de Souza Simões,2004,Dissertação,UNIVERSIDADE FEDERAL DO PARÁ,DIREITO
Arno Wehling,Christiano Cardoso França,2004,Dissertação,UNIVERSIDADE GAMA FILHO,DIREITO
José Rossini Campos do Couto Corrêa,Luciana Pato Peçanha Martins,2005,Dissertação,CENTRO UNIVERSITÁRIO DE BRASÍLIA,DIREITO
Vinício Carrilho Martinez,Alexandre de Castro,2005,Dissertação,"FUNDAÇÃO DE ENSINO ""EURÍPIDES SOARES DA ROCHA""",DIREITO
Nilo Batista,Rodrigo Duque Estrada Roig Soares,2005,Dissertação,UNIVERSIDADE CÂNDIDO MENDES,DIREITO
Nilo Batista,Guaraci de Campos Vianna,2005,Dissertação,UNIVERSIDADE CÂNDIDO MENDES,DIREITO
Rosendo Freitas de Amorim,Fabíola Brito do Amaral,2005,Dissertação,UNIVERSIDADE DE FORTALEZA,DIREITO CONSTITUCIONAL
Jose Reinaldo de Lima Lopes,Rafael Mafei Rabelo Queiroz,2005,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Pedro Paulo Teixeira Manus,Gerson Lacerda Pistori,2006,Dissertação,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,DIREITO
Newton de Menezes Albuquerque,Erick Sarriune Cisne,2006,Dissertação,UNIVERSIDADE DE FORTALEZA,DIREITO CONSTITUCIONAL
Carlos Eduardo de Abreu Boucault,Marcelo Salaroli de Oliveira,2006,Dissertação,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/FRANCA,DIREITO
Menelick de Carvalho Netto,Maria Fernanda Salcedo Repolês,2006,Tese,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DIREITO
César Augusto de Castro Fiuza,Maria Stella Ferreira Levy,2006,Tese,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DIREITO
Vera Regina Pereira de Andrade,Claudio Alberto Gabriel Guimarães,2006,Tese,UNIVERSIDADE FEDERAL DE SANTA CATARINA,DIREITO
José Antônio Peres Gediel,João Marcelo Borelli Machado,2006,Dissertação,UNIVERSIDADE FEDERAL DO PARANÁ,DIREITO
Jeannette Antonios Maman,Marcelo José Grimone,2007,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Antônio Celso Alves Pereira,Paulo Emílio Vauthier Borges de Macedo,2007,Tese,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,DIREITO
Jose Reinaldo de Lima Lopes,Almir Teubl Sanches,2008,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Hélcio Maciel França Madeira,Carlos Alexandre Böttcher,2008,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Ricardo Marcelo Fonseca,Roberto Dalledone Machado Filho,2008,Dissertação,UNIVERSIDADE FEDERAL DO PARANÁ,DIREITO
Cristiano Otavio Paixão Araujo Pinto,Leonardo Augusto de Andrade Barbosa,2009,Tese,UNIVERSIDADE DE BRASÍLIA,DIREITO
Jose Reinaldo de Lima Lopes,Rafael Mafei Rabelo Queiroz,2009,Tese,UNIVERSIDADE DE SÃO PAULO,DIREITO
Ignácio Maria Poveda Velasco,Júlia Rosseti Picinin Arruda Vieira,2009,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Aloízio Gonzaga de Andrade Araújo,Gustavo Silveira Siqueira,2009,Dissertação,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DIREITO
Arno Dal Ri Júnior,Ricardo Sontag,2009,Dissertação,UNIVERSIDADE FEDERAL DE SANTA CATARINA,DIREITO
Antonio Carlos Wolkmer,Luiz Otávio Ribas,2009,Dissertação,UNIVERSIDADE FEDERAL DE SANTA CATARINA,DIREITO
Ricardo Marcelo Fonseca,Sérgio Said Staut Junior,2009,Tese,UNIVERSIDADE FEDERAL DO PARANÁ,DIREITO
Jose Reinaldo de Lima Lopes,Otávio Lucas Solano Valério,2010,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Luís Virgílio Afonso da Silva,Priscila Maddalozzo Pivatto,2010,Tese,UNIVERSIDADE DE SÃO PAULO,DIREITO
Ignácio Maria Poveda Velasco,Estevan Lo Ré Pousada,2010,Tese,UNIVERSIDADE DE SÃO PAULO,DIREITO
Gilberto Bercovici,Marcele Garcia Guerra,2010,Dissertação,UNIVERSIDADE DE SÃO PAULO,DIREITO
Marcelo Andrade Cattoni de Oliveira,Adamo Dias Alves,2010,Dissertação,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DIREITO
Ricardo Marcelo Fonseca,Andre Peixoto de Souza,2010,Tese,UNIVERSIDADE FEDERAL DO PARANÁ,DIREITO
