ano,orientadores_distintos_acumulado,nos_distintos_acumulado,arestas_acumuladas,densidade_classica_acumulada,orientadores_geracao2_acumulado,arestas_geracao2_acumuladas,participacao_geracao2
1994,2,4,2,0.16666666666666666,0,0,0
1995,2,4,2,0.16666666666666666,0,0,0
1996,2,4,2,0.16666666666666666,0,0,0
1997,3,6,3,0.1,0,0,0
1998,5,10,5,0.05555555555555555,0,0,0
1999,7,14,7,0.038461538461538464,0,0,0
2000,8,16,8,0.03333333333333333,0,0,0
2001,14,28,14,0.018518518518518517,0,0,0
2002,19,38,19,0.013513513513513514,0,0,0
2003,26,56,30,0.00974025974025974,0,0,0
2004,27,60,33,0.009322033898305085,0,0,0
2005,31,70,39,0.008074534161490683,0,0,0
2006,36,82,46,0.006925624811803674,0,0,0
2007,38,86,48,0.006566347469220246,0,0,0
2008,40,90,51,0.006367041198501872,1,1,0.0196078431372549
2009,44,100,58,0.005858585858585859,1,2,0.034482758620689655
2010,47,109,64,0.0054366292898402994,1,3,0.046875
2011,54,128,77,0.004736712598425197,1,6,0.07792207792207792
2012,61,149,92,0.0041719571920914205,1,6,0.06521739130434782
2013,70,179,114,0.003577929822358923,1,7,0.06140350877192982
2014,75,201,131,0.0032587064676616916,1,8,0.061068702290076333
2015,83,224,148,0.002962844330557335,2,11,0.07432432432432433
2016,95,256,171,0.002619485294117647,3,12,0.07017543859649122
2017,108,294,199,0.002310139072693924,4,14,0.07035175879396985
2018,123,334,227,0.0020409631188074303,5,18,0.07929515418502203
2019,134,368,252,0.0018658926667456462,6,22,0.0873015873015873
2020,149,408,280,0.0016861781567663922,8,24,0.08571428571428572
2021,160,444,307,0.0015608158949016737,9,27,0.08794788273615635
2022,174,492,345,0.0014281456460185783,11,36,0.10434782608695652
2023,186,537,383,0.001330637316212235,12,45,0.1174934725848564
2024,197,580,420,0.0012506700017866715,13,50,0.11904761904761904
