nome_canonico,n_como_orientador,n_como_autor,ano_primeira_aparicao,ano_ultima_aparicao,foi_orientando_no_corpus,foi_orientador_no_corpus
Ricardo Marcelo Fonseca,19,1,1998,2024,TRUE,TRUE
Alfredo de Jesus Dal Molin Flores,17,0,2013,2023,FALSE,TRUE
Cristiano Otavio Paixão Araujo Pinto,14,0,2009,2024,FALSE,TRUE
Luís Fernando Lopes Pereira,13,0,2011,2024,FALSE,TRUE
Diego Nunes,11,0,2018,2024,FALSE,TRUE
Airton Lisle Cerqueira Leite Seelaender,10,0,2013,2024,FALSE,TRUE
Jose Reinaldo de Lima Lopes,10,0,2005,2023,FALSE,TRUE
Samuel Rodrigues Barbosa,10,0,2013,2024,FALSE,TRUE
Nilo Batista,8,0,2002,2019,FALSE,TRUE
Walter Guandalini Junior,7,0,2018,2024,FALSE,TRUE
Arno Dal Ri Júnior,6,0,2009,2021,FALSE,TRUE
Gustavo Cesar Machado Cabral,6,0,2018,2024,FALSE,TRUE
Gustavo Silveira Siqueira,6,2,2009,2023,TRUE,TRUE
Menelick de Carvalho Netto,6,0,2001,2024,FALSE,TRUE
Ricardo Sontag,6,1,2009,2023,TRUE,TRUE
Giordano Bruno Soares Roberto,5,0,2012,2023,FALSE,TRUE
Rafael Lamera Giesta Cabral,5,1,2016,2024,TRUE,TRUE
Arno Wehling,4,0,2002,2022,FALSE,TRUE
Eduardo Tomasevicius Filho,4,0,2015,2023,FALSE,TRUE
Ela Wiecko Volkmer de Castilho,4,0,2001,2022,FALSE,TRUE
Evandro Charles Piza Duarte,4,0,2017,2024,FALSE,TRUE
George Rodrigo Bandeira Galindo,4,0,2014,2024,FALSE,TRUE
Gilberto Bercovici,4,0,2010,2020,FALSE,TRUE
Hélcio Maciel França Madeira,4,0,2008,2020,FALSE,TRUE
Ignácio Maria Poveda Velasco,4,0,2009,2020,FALSE,TRUE
Marcelo Andrade Cattoni de Oliveira,4,0,2010,2016,FALSE,TRUE
Raphael Peixoto de Paula Marques,4,2,2011,2024,TRUE,TRUE
Sergio Luiz Souza Araujo,4,0,2011,2017,FALSE,TRUE
Vera Regina Pereira de Andrade,4,0,1998,2016,FALSE,TRUE
Adriana Pereira Campos,3,0,2020,2023,FALSE,TRUE
Adriano Pilatti,3,0,2012,2022,FALSE,TRUE
Antonio Carlos Wolkmer,3,0,2003,2014,FALSE,TRUE
Caetano Dias Correa,3,0,2021,2023,FALSE,TRUE
Cezar Saldanha Souza Junior,3,0,2013,2014,FALSE,TRUE
Daniela Muradas Antunes,3,0,2016,2023,FALSE,TRUE
Joaquim Carlos Salgado,3,0,2001,2024,FALSE,TRUE
Jorge Luiz Souto Maior,3,0,2020,2024,FALSE,TRUE
Jose Eduardo Campos de Oliveira Faria,3,0,2016,2018,FALSE,TRUE
José Luiz Borges Horta,3,0,2012,2020,FALSE,TRUE
Karine Salgado,3,0,2018,2023,FALSE,TRUE
Mara Regina de Oliveira,3,0,2018,2023,FALSE,TRUE
Vera Malaguti de Souza Weglinski Batista,3,0,2003,2020,FALSE,TRUE
Alexander Rodrigues de Castro,2,0,2021,2023,FALSE,TRUE
Ari Marcelo Solon,2,0,2019,2020,FALSE,TRUE
Bethania de Albuquerque Assy,2,0,2016,2018,FALSE,TRUE
Carlos Eduardo de Abreu Boucault,2,0,2006,2017,FALSE,TRUE
Gustavo Raposo Pereira Feitosa,2,0,2012,2015,FALSE,TRUE
Jeanine Nicolazzi Philippi,2,0,2017,2018,FALSE,TRUE
Joao Mauricio Leitao Adeodato,2,0,2002,2013,FALSE,TRUE
Jose Aurivaldo Sacchetta Ramos Mendes,2,0,2018,2018,FALSE,TRUE
Juliano Zaiden Benvindo,2,0,2020,2022,FALSE,TRUE
Lenio Luiz Streck,2,0,2018,2023,FALSE,TRUE
Maiquel Angelo Dezordi Wermuth,2,0,2017,2024,FALSE,TRUE
Marcelo Casseb Continentino,2,1,2014,2022,TRUE,TRUE
Marcelo da Costa Pinto Neves,2,0,2016,2024,FALSE,TRUE
Maria Cristina da Silva Carmignani,2,0,2018,2023,FALSE,TRUE
Mauricio de Albuquerque Rocha,2,0,2019,2023,FALSE,TRUE
Paulo Emílio Vauthier Borges de Macedo,2,1,2007,2022,TRUE,TRUE
Sayonara Grillo Coutinho Leonardo da Silva,2,0,2018,2022,FALSE,TRUE
Torquato da Silva Castro Junior,2,0,2013,2015,FALSE,TRUE
Valquiria Elita Renk,2,0,2020,2021,FALSE,TRUE
Adamo Dias Alves,1,2,2010,2022,TRUE,TRUE
Afrânio Silva Jardim,1,0,2000,2000,FALSE,TRUE
Alberto Nogueira,1,0,2002,2002,FALSE,TRUE
Alessandra Rapacci Mascarenhas Prado,1,0,2024,2024,FALSE,TRUE
Alexandre Bernardino Costa,1,0,2017,2017,FALSE,TRUE
Alexandre Ronaldo da Maia de Farias,1,0,2015,2015,FALSE,TRUE
Aloízio Gonzaga de Andrade Araújo,1,0,2009,2009,FALSE,TRUE
Alvaro Luiz Travassos de Azevedo Gonzaga,1,0,2018,2018,FALSE,TRUE
